Parametric p-value,FDR,Geom mean of intensities in class 1,Geom mean of intensities in class 2,Fold-change(KD/C),UniqueID,Symbol
0.0000001,0.0000001,95.48,40.07,0.42016806722689076,ENSG00000138448,ITGAV
0.0000001,0.0000001,332.93,133.34,0.4,ENSG00000128923,FAM63B
0.0000001,0.0000001,1.01,1.83,1.8181818181818181,ENSG00000251000,AC008592.3
5e-07,0.00796,1.06,3.11,2.941176470588235,ENSG00000251003,RP11-152P17.2
1e-06,0.0127,1.07,2.04,1.923076923076923,ENSG00000268471,MIR4453
1.4e-06,0.0136,536.15,158.34,0.2949852507374631,ENSG00000226125,AC098823.3
1.5e-06,0.0136,1.06,3.36,3.125,ENSG00000225611,RP11-70C1.1
2.1e-06,0.0167,99.27,199.33,2.0,ENSG00000183943,PRKX
3e-06,0.0212,41.5,12.61,0.303951367781155,ENSG00000081087,OSTM1
3.9e-06,0.0248,1,1.73,1.7241379310344829,ENSG00000197977,ELOVL2
8.1e-06,0.0469,1.37,6.96,5.0,ENSG00000137745,MMP13
8.9e-06,0.0472,53.35,17.6,0.33003300330033003,ENSG00000165685,TMEM52B
1.23e-05,0.0602,1,1.56,1.5625,ENSG00000238534,Y_RNA
1.82e-05,0.0824,114.25,62.17,0.5434782608695652,ENSG00000105971,CAV2
1.94e-05,0.0824,127.4,66.11,0.5181347150259068,ENSG00000169764,UGP2
2.24e-05,0.0891,141.45,80.21,0.5681818181818182,ENSG00000169251,NMD3
2.79e-05,0.097,19.51,7.79,0.4,ENSG00000136867,SLC31A2
2.94e-05,0.097,172.59,88.73,0.5128205128205129,ENSG00000261609,GAN
2.95e-05,0.097,52.02,22.54,0.4329004329004329,ENSG00000144815,NXPE3
3.17e-05,0.097,1.05,1.93,1.8181818181818181,ENSG00000255397,AC022182.2
3.2e-05,0.097,75,125.82,1.6666666666666667,ENSG00000085719,CPNE3
3.51e-05,0.102,258.88,121.56,0.4694835680751174,ENSG00000214049,UCA1
3.82e-05,0.106,187.68,89.89,0.47846889952153115,ENSG00000073008,PVR
3.99e-05,0.106,383.3,220.45,0.5747126436781609,ENSG00000197879,MYO1C
4.32e-05,0.11,64.48,170.62,2.6315789473684212,ENSG00000105976,MET
4.66e-05,0.11,1.03,2.24,2.1739130434782608,ENSG00000258843,RP11-286O18.1
5.11e-05,0.11,1.29,4.64,3.571428571428571,ENSG00000124097,HMGB1P1
5.23e-05,0.11,22.72,6.06,0.26666666666666666,ENSG00000171174,RBKS
5.25e-05,0.11,1.11,2.9,2.6315789473684212,ENSG00000185634,SHC4
5.28e-05,0.11,56.05,24.26,0.4329004329004329,ENSG00000168685,IL7R
5.36e-05,0.11,131.76,74.97,0.5681818181818182,ENSG00000184787,UBE2G2
5.7e-05,0.113,628.2,295.9,0.4716981132075471,ENSG00000101224,CDC25B
6.43e-05,0.124,5.8,1.21,0.20833333333333334,ENSG00000180592,SKIDA1
7.05e-05,0.132,1.01,2.35,2.3255813953488373,ENSG00000135549,PKIB
8.33e-05,0.152,164.33,73.54,0.4484304932735426,ENSG00000163964,PIGX
8.68e-05,0.153,27.67,12.59,0.45454545454545453,ENSG00000119411,BSPRY
8.91e-05,0.153,1.09,2.88,2.6315789473684212,ENSG00000250596,RP11-440I14.2
0.0001111,0.181,63.09,145.6,2.3255813953488373,ENSG00000116679,IVNS1ABP
0.0001133,0.181,1719.88,577.08,0.33557046979865773,ENSG00000013588,GPRC5A
0.0001155,0.181,172.93,50.09,0.2898550724637681,ENSG00000197930,ERO1L
0.0001167,0.181,1.08,2.03,1.8867924528301885,ENSG00000198339,HIST1H4I
0.0001492,0.224,1.05,1.65,1.5625,ENSG00000264577,AC010761.8
0.0001543,0.224,1.03,1.82,1.7543859649122808,ENSG00000224356,RP11-151A6.4
0.000155,0.224,1.15,3.26,2.857142857142857,ENSG00000232116,RP11-187C18.2
0.0001699,0.236,159.08,46.39,0.29154518950437314,ENSG00000167767,KRT80
0.0001722,0.236,11.87,2.03,0.1706484641638225,ENSG00000135480,KRT7
0.0001741,0.236,13.08,3.2,0.24509803921568626,ENSG00000270504,RP11-420L9.5
0.0001905,0.249,128.8,45.92,0.35714285714285715,ENSG00000179820,MYADM
0.0001935,0.249,27.82,16.98,0.6097560975609756,ENSG00000198168,SVIP
0.0001959,0.249,18.92,7.02,0.37037037037037035,ENSG00000180806,HOXC9
0.0002141,0.267,98.32,55.18,0.5617977528089888,ENSG00000006576,PHTF2
0.0002208,0.27,32.65,14.35,0.44052863436123346,ENSG00000183696,UPP1
0.0002306,0.277,184.49,296.27,1.6129032258064517,ENSG00000105058,FAM32A
0.0002383,0.281,1.19,3.47,2.941176470588235,ENSG00000221953,C1orf229
0.0002603,0.301,332.4,214.29,0.6451612903225806,ENSG00000204262,COL5A2
0.0002697,0.307,16.98,4.7,0.2770083102493075,ENSG00000100478,AP4S1
0.0002963,0.329,143.31,253.01,1.7543859649122808,ENSG00000116016,EPAS1
3e-04,0.329,296.85,80.66,0.2717391304347826,ENSG00000134531,EMP1
0.0003135,0.329,8.46,2.04,0.24096385542168672,ENSG00000167754,KLK5
0.0003146,0.329,47,13.2,0.2808988764044944,ENSG00000143367,TUFT1
0.0003176,0.329,44.49,17.11,0.3846153846153846,ENSG00000116918,TSNAX
0.0003218,0.329,37.78,72.5,1.923076923076923,ENSG00000131149,GSE1
0.0003252,0.329,6.03,1.52,0.2518891687657431,ENSG00000137877,SPTBN5
0.0003333,0.332,1.19,3.9,3.2258064516129035,ENSG00000145864,GABRB2
0.0003431,0.336,378.32,188.89,0.5,ENSG00000163110,PDLIM5
0.0003605,0.344,93.38,37.27,0.39840637450199207,ENSG00000149948,HMGA2
0.0003616,0.344,154.14,87.29,0.5649717514124294,ENSG00000139433,GLTP
0.0003705,0.346,36.75,14.9,0.4048582995951417,ENSG00000099812,MISP
0.0003751,0.346,402.04,98.15,0.24390243902439027,ENSG00000212901,KRTAP3-1
0.0004203,0.37,1.21,3,2.5,ENSG00000188931,C1orf192
0.0004282,0.37,172.82,86.45,0.5,ENSG00000111348,ARHGDIB
0.0004321,0.37,1.56,4.4,2.857142857142857,ENSG00000272145,NFYC-AS1
0.0004463,0.37,2.06,10.12,5.0,ENSG00000196839,ADA
0.0004466,0.37,28.85,7.91,0.273972602739726,ENSG00000092969,TGFB2
0.0004638,0.37,83.87,36.43,0.4347826086956522,ENSG00000221926,TRIM16
0.0004695,0.37,10.71,1.92,0.17921146953405018,ENSG00000111319,SCNN1A
0.0004714,0.37,1.13,2.96,2.6315789473684212,ENSG00000253320,KB-1507C5.2
0.0004761,0.37,389.46,233.1,0.5988023952095809,ENSG00000134294,SLC38A2
0.0004838,0.37,213.81,120.19,0.5617977528089888,ENSG00000169403,PTAFR
0.000514,0.37,1.01,1.45,1.4285714285714286,ENSG00000235204,RP11-121A14.2
0.0005148,0.37,211.87,95.07,0.4484304932735426,ENSG00000107738,C10orf54
0.0005212,0.37,58.47,98.85,1.6949152542372883,ENSG00000101384,JAG1
0.0005348,0.37,1,1.62,1.6129032258064517,ENSG00000199874,RNA5SP452
0.0005348,0.37,1,1.78,1.7857142857142856,ENSG00000155011,DKK2
0.0005357,0.37,1,1.3,1.2987012987012987,ENSG00000234065,MTND4P26
0.0005359,0.37,51.85,21.23,0.4098360655737705,ENSG00000162493,PDPN
0.0005366,0.37,1,1.61,1.6129032258064517,ENSG00000139537,CCDC65
0.0005366,0.37,1,1.61,1.6129032258064517,ENSG00000228330,RP11-730A19.5
0.00057,0.37,8.82,2.24,0.25380710659898476,ENSG00000232480,RP11-224O19.2
0.0005855,0.37,1,1.69,1.6949152542372883,ENSG00000260593,RP11-432I5.2
0.000592,0.37,1,1.69,1.6949152542372883,ENSG00000234776,C11orf94
0.0006001,0.37,8.85,3.88,0.4385964912280702,ENSG00000188157,AGRN
0.0006165,0.37,1.15,2.77,2.380952380952381,ENSG00000266904,LINC00663
0.0006271,0.37,1.35,3.89,2.857142857142857,ENSG00000179477,ALOX12B
0.0006299,0.37,273.06,147.47,0.5405405405405405,ENSG00000173391,OLR1
0.0006408,0.37,1,1.14,1.1363636363636365,ENSG00000126467,TSKS
0.0006408,0.37,1,1.14,1.1363636363636365,ENSG00000133116,KL
0.0006408,0.37,1,1.14,1.1363636363636365,ENSG00000187672,ERC2
0.0006408,0.37,1,1.14,1.1363636363636365,ENSG00000203482,AC061975.7
0.0006408,0.37,1,1.14,1.1363636363636365,ENSG00000204814,RP11-160N1.10
0.0006408,0.37,1,1.14,1.1363636363636365,ENSG00000213866,YBX1P10
0.0006408,0.37,1,1.14,1.1363636363636365,ENSG00000233264,AC006042.8
0.0006408,0.37,1,1.14,1.1363636363636365,ENSG00000233379,RP11-318G21.4
0.0006408,0.37,1,1.14,1.1363636363636365,ENSG00000234523,NDUFB1P2
0.0006408,0.37,1,1.14,1.1363636363636365,ENSG00000236914,RP11-1008C21.2
0.0006408,0.37,1,1.14,1.1363636363636365,ENSG00000250568,RP11-333E13.2
0.0006408,0.37,1,1.14,1.1363636363636365,ENSG00000267356,RP11-411B10.3
0.0006408,0.37,1,1.14,1.1363636363636365,ENSG00000267879,CTB-147C22.9
0.0006408,0.37,1,1.14,1.1363636363636365,ENSG00000271156,RP11-642C5.1
0.0006408,0.37,1,1.14,1.1363636363636365,ENSG00000273160,RP11-104L21.3
0.0006449,0.37,417.84,289.43,0.6944444444444444,ENSG00000136830,FAM129B
0.0006683,0.38,1.12,3.08,2.7777777777777777,ENSG00000258517,RP6-91H8.1
0.000674,0.38,70.44,32.41,0.4608294930875576,ENSG00000159176,CSRP1
0.0006908,0.386,10.63,2.13,0.2004008016032064,ENSG00000087494,PTHLH
0.0007007,0.388,333.93,602.94,1.8181818181818181,ENSG00000164754,RAD21
0.0007342,0.394,6.05,2.11,0.3472222222222222,ENSG00000125629,INSIG2
0.0007381,0.394,20.44,5.93,0.2898550724637681,ENSG00000163606,CD200R1
0.0007422,0.394,1.01,1.45,1.4285714285714286,ENSG00000197502,AL627171.1
0.0007422,0.394,1.01,1.45,1.4285714285714286,ENSG00000268154,AL591806.1
0.000749,0.394,1,1.79,1.7857142857142856,ENSG00000239405,TMED10P2
0.0007541,0.394,22.75,41.79,1.8518518518518516,ENSG00000065559,MAP2K4
0.0007591,0.394,39.6,67.32,1.6949152542372883,ENSG00000106031,HOXA13
0.0007639,0.394,42.61,18.71,0.4385964912280702,ENSG00000118508,RAB32
0.0007671,0.394,110.47,58.3,0.5291005291005292,ENSG00000162458,FBLIM1
0.0007945,0.395,106.67,61.25,0.5747126436781609,ENSG00000104611,SH2D4A
0.000797,0.395,69.56,49.67,0.7142857142857143,ENSG00000006432,MAP3K9
0.0008003,0.395,1,1.77,1.7857142857142856,ENSG00000254941,RP11-677M14.5
0.0008045,0.395,9.73,2.83,0.29069767441860467,ENSG00000234684,SDCBP2-AS1
0.0008058,0.395,25.19,11.43,0.45454545454545453,ENSG00000108846,ABCC3
0.0008063,0.395,74.15,42.57,0.5747126436781609,ENSG00000182446,NPLOC4
0.0008162,0.397,120.22,52.01,0.4329004329004329,ENSG00000058085,LAMC2
0.0008333,0.398,114.76,37.41,0.32573289902280134,ENSG00000138166,DUSP5
0.0008553,0.398,12.38,4.29,0.3460207612456747,ENSG00000135900,MRPL44
0.0008567,0.398,26.48,11.57,0.4366812227074236,ENSG00000144040,SFXN5
0.00086,0.398,11.96,4.91,0.4098360655737705,ENSG00000160606,TLCD1
0.0008686,0.398,1.01,1.6,1.5873015873015872,ENSG00000253910,PCDHGB2
0.0008686,0.398,1.01,1.6,1.5873015873015872,ENSG00000255443,RP1-68D18.4
0.0008686,0.398,1.01,1.6,1.5873015873015872,ENSG00000259768,RP5-991G20.1
0.0008686,0.398,1.01,1.6,1.5873015873015872,ENSG00000270018,RP3-462E2.5
0.0008868,0.402,22.16,6.74,0.303951367781155,ENSG00000236751,RP1-30G7.2
0.0008905,0.402,10.34,24.63,2.380952380952381,ENSG00000198947,DMD
0.0008977,0.403,82.91,263.52,3.2258064516129035,ENSG00000164120,HPGD
0.0009063,0.404,1.02,1.78,1.7543859649122808,ENSG00000229820,RP1-308E4.1
0.0009142,0.404,60.49,19.32,0.3194888178913738,ENSG00000111816,FRK
0.0009346,0.41,1.44,4.89,3.3333333333333335,ENSG00000254338,RP11-909N17.3
0.0009393,0.41,30.48,70.27,2.3255813953488373,ENSG00000145919,BOD1
0.0009577,0.415,176.07,96.65,0.5494505494505494,ENSG00000169252,ADRB2
0.0009722,0.418,19.12,45.57,2.380952380952381,ENSG00000167257,RNF214
0.0009806,0.419,1.05,1.56,1.4925373134328357,ENSG00000267262,CTC-232P5.3
0.0010002,0.423,13.66,33.21,2.4390243902439024,ENSG00000153044,CENPH
0.001004,0.423,27.21,14.92,0.5494505494505494,ENSG00000153292,GPR110
0.0010305,0.432,227.38,112.57,0.49504950495049505,ENSG00000178209,PLEC
0.0010375,0.432,1.04,1.54,1.4705882352941175,ENSG00000073734,ABCB11
0.0010484,0.433,55.92,35.85,0.641025641025641,ENSG00000104643,MTMR9
0.0010576,0.434,39.47,17.49,0.4424778761061947,ENSG00000124444,ZNF576
0.0010624,0.434,63.82,21.82,0.3424657534246575,ENSG00000078401,EDN1
0.0010858,0.44,1.02,1.78,1.7543859649122808,ENSG00000257576,RP11-153M3.1
0.0010959,0.442,220.87,57.89,0.2617801047120419,ENSG00000065534,MYLK
0.001108,0.442,57.89,27.87,0.4807692307692307,ENSG00000099804,CDC34
0.0011184,0.442,2562.09,1101.79,0.4291845493562232,ENSG00000170477,KRT4
0.0011222,0.442,50.58,129.19,2.564102564102564,ENSG00000109046,WSB1
0.0011238,0.442,1.03,1.54,1.4925373134328357,ENSG00000272337,U6
0.0011639,0.449,69.43,41.69,0.5988023952095809,ENSG00000166938,DIS3L
0.0011864,0.449,34.39,17.97,0.5235602094240838,ENSG00000057294,PKP2
0.0011929,0.449,1.06,1.83,1.7241379310344829,ENSG00000200534,SNORA33
0.0011978,0.449,23.8,37.68,1.5873015873015872,ENSG00000119685,TTLL5
0.0012185,0.449,1,1.44,1.4492753623188408,ENSG00000254701,RP11-1415C14.4
0.0012201,0.449,1,1.22,1.2195121951219512,ENSG00000166111,SVOP
0.0012201,0.449,1,1.22,1.2195121951219512,ENSG00000206145,P2RX6P
0.0012201,0.449,1,1.22,1.2195121951219512,ENSG00000232104,RP11-509J21.1
0.0012201,0.449,1,1.22,1.2195121951219512,ENSG00000235982,AC007875.3
0.0012201,0.449,1,1.22,1.2195121951219512,ENSG00000261395,HSPE1P5
0.0012209,0.449,18.57,9.61,0.5181347150259068,ENSG00000106415,GLCCI1
0.0012386,0.453,1.04,2.13,2.0408163265306123,ENSG00000264284,AL391380.1
0.0012567,0.457,40.24,29.21,0.7246376811594204,ENSG00000087448,KLHL42
